YEAR,ORIGIN_REGION,MARRIAGE_TYPE,WEIGHTED_COUNT
1880.0,Africa,Co-ethnic 2nd gen,1144.46
1880.0,Africa,Interethnic 1st gen,102.39
1880.0,Africa,Interethnic 2nd gen,156.78
1880.0,Africa,Native stock (3rd+),6760.36
1880.0,Asia,Native stock (3rd+),121.98
1880.0,Atlantic,Native stock (3rd+),102.39
1880.0,British Isles,Co-ethnic 1st gen,643.84
1880.0,British Isles,Co-ethnic 2nd gen,98.08
1880.0,British Isles,Interethnic 1st gen,609.22
1880.0,British Isles,Interethnic 2nd gen,475.88
1880.0,British Isles,Native stock (3rd+),555.97
1880.0,British Isles,Same region 1st gen,96.69
1880.0,Caribbean,Co-ethnic 1st gen,388.03
1880.0,Caribbean,Co-ethnic 2nd gen,490.91999999999996
1880.0,Caribbean,Interethnic 1st gen,119.24
1880.0,Caribbean,Interethnic 2nd gen,261.55
1880.0,Caribbean,Native stock (3rd+),2044.02
1880.0,Central Europe,Co-ethnic 1st gen,25093.04
1880.0,Central Europe,Co-ethnic 2nd gen,33222.87
1880.0,Central Europe,Interethnic 1st gen,25225.22
1880.0,Central Europe,Interethnic 2nd gen,36082.82
1880.0,Central Europe,Native stock (3rd+),197248.06
1880.0,Central Europe,Same region 1st gen,6146.18
1880.0,Central Europe,Same region 2nd gen,7779.96
1880.0,East Asia,Co-ethnic 2nd gen,192.26
1880.0,Eastern Europe,Co-ethnic 1st gen,701.06
1880.0,Eastern Europe,Co-ethnic 2nd gen,402.28
1880.0,Eastern Europe,Interethnic 1st gen,468.8
1880.0,Eastern Europe,Interethnic 2nd gen,294.69
1880.0,Eastern Europe,Native stock (3rd+),1113.73
1880.0,Europe,Co-ethnic 1st gen,87014.64
1880.0,Europe,Co-ethnic 2nd gen,128898.3
1880.0,Europe,Interethnic 1st gen,34145.09
1880.0,Europe,Interethnic 2nd gen,32333.63
1880.0,Europe,Native stock (3rd+),162777.62
1880.0,Mixed,Co-ethnic 2nd gen,4029.3
1880.0,Mixed,Interethnic 1st gen,13638.18
1880.0,Mixed,Interethnic 2nd gen,23414.9
1880.0,Mixed,Native stock (3rd+),28169.26
1880.0,North America,Co-ethnic 1st gen,17135.68
1880.0,North America,Co-ethnic 2nd gen,16844.54
1880.0,North America,Interethnic 1st gen,5381.82
1880.0,North America,Interethnic 2nd gen,8443.77
1880.0,North America,Native stock (3rd+),43349.77
1880.0,Oceania,Interethnic 1st gen,119.29
1880.0,Oceania,Native stock (3rd+),97.73
1880.0,Scandinavia,Co-ethnic 1st gen,84.94
