SOURCE,TARGET,GEO_ADJUSTED_AFFINITY
Austria,Czechoslovakia,1.224
Austria,England,0.335
Austria,Germany,0.446
Austria,Hungary,4.22
Austria,Ireland,0.123
Austria,Norway,0.197
Austria,Poland,1.262
Austria,Russia/USSR,3.396
Canada,England,1.204
Canada,France,1.13
Canada,Germany,0.465
Canada,Ireland,0.842
Canada,Italy,0.178
Canada,Netherlands,0.308
Canada,Norway,0.53
Canada,Poland,0.202
Canada,Portugal,0.367
Canada,Scotland,1.464
Canada,Sweden,0.664
Canada,Switzerland,1.089
Czechoslovakia,Germany,0.273
Czechoslovakia,Ireland,0.167
Czechoslovakia,Poland,1.058
Czechoslovakia,Sweden,0.264
Denmark,England,0.893
Denmark,Germany,0.615
Denmark,Ireland,0.55
Denmark,Norway,1.266
Denmark,Scotland,0.594
Denmark,Sweden,1.517
Denmark,Wales,0.899
England,France,0.993
England,Germany,0.595
England,Ireland,0.913
England,Italy,0.158
England,Netherlands,0.839
England,Norway,0.581
England,Portugal,0.518
England,Russia/USSR,0.358
England,Scotland,2.793
England,Sweden,0.835
England,Switzerland,1.088
England,Wales,2.583
France,Germany,0.947
France,Ireland,0.704
France,Italy,0.469
France,Switzerland,3.436
Germany,Hungary,0.379
Germany,Ireland,0.369
Germany,Italy,0.136
Germany,Netherlands,0.516
Germany,Norway,0.289
Germany,Poland,0.281
Germany,Portugal,0.11
Germany,Russia/USSR,0.235
Germany,Scotland,0.639
Germany,Sweden,0.401
Germany,Switzerland,1.111
Germany,Wales,0.281
Hungary,Poland,1.38
Hungary,Russia/USSR,4.45
Ireland,Italy,0.129
Ireland,Netherlands,0.279
Ireland,Norway,0.345
Ireland,Poland,0.091
Ireland,Portugal,0.205
Ireland,Russia/USSR,0.026
Ireland,Scotland,0.969
Ireland,Sweden,0.311
Ireland,Switzerland,0.455
Ireland,Wales,0.53
Italy,Poland,0.254
Italy,Portugal,0.268
Italy,Russia/USSR,0.098
Italy,Switzerland,0.916
Norway,Sweden,1.812
Poland,Russia/USSR,1.418
Scotland,Wales,2.3
