STATEFIP,STATE_NAME,ORIGIN_GROUP,TOTAL_2NDGEN_IN_STATE,GROUP_COUNT_IN_STATE,GROUP_SHARE_PCT,OUTMARRIAGE_RATE,THIRD_GEN_RATE,HERITAGE_RATE,WEIGHTED_N,UNWEIGHTED_N
1,Alabama,Germany,27266.04,11136.519999999999,40.84,60.06,42.87,39.94,11136.519999999999,333
1,Alabama,Ireland,27266.04,5234.950000000001,19.2,61.27,46.34,38.73,5234.950000000001,227
4,Arizona,Mexico,27206.28,12183.669999999998,44.78,15.54,12.43,84.46,12183.669999999998,409
5,Arkansas,Germany,30259.35,14556.810000000001,48.11,59.0,44.66,41.0,14556.810000000001,469
5,Arkansas,Ireland,30259.35,6056.550000000001,20.02,74.78,57.08,25.22,6056.550000000001,189
6,California,Austria,631513.21,6024.280000000001,0.95,80.47,27.96,19.53,6024.280000000001,222
6,California,Canada,631513.21,30516.120000000003,4.83,82.66,50.39,17.34,30516.120000000003,1030
6,California,Denmark,631513.21,17114.98,2.71,80.1,39.98,19.9,17114.98,587
6,California,England,631513.21,64039.590000000004,10.14,80.42,50.81,19.58,64039.590000000004,2107
6,California,France,631513.21,16526.17,2.62,83.47,39.27,16.53,16526.17,555
6,California,Germany,631513.21,174392.72000000003,27.62,65.32,37.73,34.68,174392.72000000003,5747
6,California,Ireland,631513.21,112569.22,17.83,61.14,30.88,38.86,112569.22,3771
6,California,Italy,631513.21,37121.869999999995,5.88,36.67,15.29,63.33,37121.869999999995,1351
6,California,Mexico,631513.21,17312.089999999997,2.74,30.19,21.75,69.81,17312.089999999997,758
6,California,Norway,631513.21,13255.199999999999,2.1,77.28,35.72,22.72,13255.199999999999,506
6,California,Poland,631513.21,5151.85,0.82,65.8,16.51,34.2,5151.85,190
6,California,Portugal,631513.21,33242.850000000006,5.26,32.11,14.19,67.89,33242.850000000006,1116
6,California,Russia/USSR,631513.21,15874.009999999997,2.51,40.95,14.37,59.05,15874.009999999997,636
6,California,Scotland,631513.21,16287.5,2.58,86.35,46.03,13.65,16287.5,605
6,California,Sweden,631513.21,29519.42,4.67,73.57,41.06,26.43,29519.42,1029
6,California,Switzerland,631513.21,13228.25,2.09,82.91,37.53,17.09,13228.25,400
6,California,Wales,631513.21,5586.98,0.88,82.32,51.59,17.68,5586.98,191
8,Colorado,England,140686.42,19537.309999999998,13.89,81.88,60.14,18.12,19537.309999999998,574
8,Colorado,Germany,140686.42,44500.81,31.63,64.1,41.64,35.9,44500.81,1336
8,Colorado,Ireland,140686.42,20442.010000000002,14.53,66.54,39.51,33.46,20442.010000000002,708
8,Colorado,Italy,140686.42,6230.110000000001,4.43,25.97,13.38,74.03,6230.110000000001,227
8,Colorado,Russia/USSR,140686.42,6151.950000000001,4.37,29.53,13.1,70.47,6151.950000000001,204
8,Colorado,Scotland,140686.42,6271.300000000001,4.46,91.28,49.73,8.72,6271.300000000001,189
8,Colorado,Sweden,140686.42,11627.43,8.26,62.09,40.14,37.91,11627.43,355
9,Connecticut,Canada,300494.14,27383.299999999996,9.11,42.08,22.06,57.92,27383.299999999996,913
9,Connecticut,England,300494.14,25747.53,8.57,76.14,50.88,23.86,25747.53,862
9,Connecticut,Germany,300494.14,56711.46000000001,18.87,58.72,29.46,41.28,56711.46000000001,1692
9,Connecticut,Ireland,300494.14,118034.71,39.28,35.27,18.22,64.73,118034.71,4002
9,Connecticut,Italy,300494.14,18696.950000000004,6.22,21.18,5.98,78.82,18696.950000000004,731
9,Connecticut,Poland,300494.14,8036.54,2.67,38.52,14.05,61.48,8036.54,350
9,Connecticut,Russia/USSR,300494.14,6919.530000000001,2.3,22.06,3.26,77.94,6919.530000000001,247
9,Connecticut,Scotland,300494.14,7324.01,2.44,89.92,47.13,10.08,7324.01,263
9,Connecticut,Sweden,300494.14,11008.230000000001,3.66,62.33,29.93,37.67,11008.230000000001,382
10,Delaware,Ireland,23103.55,11325.49,49.02,46.96,36.51,53.04,11325.49,376
11,District of Columbia,Germany,40403.689999999995,14383.16,35.6,61.62,43.63,38.38,14383.16,509
11,District of Columbia,Ireland,40403.689999999995,14643.76,36.24,61.62,45.34,38.38,14643.76,494
12,Florida,Cuba,44344.71,5090.860000000001,11.48,17.41,5.51,82.59,5090.860000000001,177
12,Florida,Germany,44344.71,11075.8,24.98,66.76,47.33,33.24,11075.8,370
13,Georgia,Germany,18983.43,6693.33,35.26,71.39,56.13,28.61,6693.33,233
13,Georgia,Ireland,18983.43,5755.290000000002,30.32,54.89,46.82,45.11,5755.290000000002,247
15,Hawaii,Japan,29174.79,9339.079999999998,32.01,3.25,1.73,96.75,9339.079999999998,392
15,Hawaii,Portugal,29174.79,11233.219999999998,38.5,21.64,11.18,78.36,11233.219999999998,377
16,Idaho,Denmark,60761.59,6204.86,10.21,66.54,42.24,33.46,6204.86,155
16,Idaho,England,60761.59,14567.359999999999,23.97,67.25,38.72,32.75,14567.359999999999,374
16,Idaho,Germany,60761.59,12779.740000000002,21.03,69.82,37.94,30.18,12779.740000000002,350
16,Idaho,Sweden,60761.59,5178.14,8.52,64.77,44.2,35.23,5178.14,134
17,Illinois,Austria,1716779.68,24447.64,1.42,55.62,14.96,44.38,24447.64,598
17,Illinois,Belgium,1716779.68,5255.290000000001,0.31,56.91,15.91,43.09,5255.290000000001,172
17,Illinois,Canada,1716779.68,42293.97,2.46,68.18,35.28,31.82,42293.97,1395
17,Illinois,Czechoslovakia,1716779.68,58515.78000000001,3.41,34.56,10.68,65.44,58515.78000000001,2062
17,Illinois,Denmark,1716779.68,18063.43,1.05,67.47,29.59,32.53,18063.43,505
17,Illinois,England,1716779.68,101813.5,5.93,79.82,49.98,20.18,101813.5,3673
17,Illinois,France,1716779.68,20686.579999999998,1.2,77.82,34.32,22.18,20686.579999999998,741
17,Illinois,Germany,1716779.68,805816.1400000001,46.94,40.02,22.79,59.98,805816.1400000001,26321
17,Illinois,Ireland,1716779.68,267121.36,15.56,51.41,26.59,48.59,267121.36,9297
17,Illinois,Italy,1716779.68,33060.060000000005,1.93,29.86,10.67,70.14,33060.060000000005,1258
17,Illinois,Lithuania,1716779.68,5894.470000000001,0.34,51.82,16.35,48.18,5894.470000000001,273
17,Illinois,Netherlands,1716779.68,18610.04,1.08,51.87,23.5,48.13,18610.04,623
17,Illinois,Norway,1716779.68,38792.240000000005,2.26,61.88,22.94,38.12,38792.240000000005,1234
