YEAR,SERIAL,PERNUM,PERWT,SPLOC,SEX,AGE,MARST,RACE,HISPAN,BPL,BPLD,NATIVITY,RACE_SP,HISPAN_SP,BPL_SP,BPLD_SP,NATIVITY_SP,REGION,REGION_SP,COUNTRY,COUNTRY_SP,SPOUSE_CATEGORY,MARRIAGE_TYPE
1980,405028,2,20.0,1,2,35,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
1980,910399,2,20.0,1,2,82,1.0,1,0,454,45400,,1.0,0.0,454.0,45400.0,,Central Europe,Central Europe,Bulgaria,Bulgaria,Bulgaria,Same Country
2020,1636407,1,11.0,2,1,61,1.0,4,0,500,50000,,4.0,0.0,518.0,51800.0,,China,Southeast Asia,China,Thailand,Thailand,Different Region
2023,2593458,2,9.0,1,2,60,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2023,4259992,1,8.0,2,1,58,1.0,1,0,522,52200,,1.0,0.0,522.0,52200.0,,South Asia,South Asia,Pakistan,Pakistan,Pakistan,Same Country
2015,919791,1,21.0,2,2,35,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2023,3218545,1,34.0,2,1,59,1.0,1,0,150,15000,,1.0,0.0,26.0,2600.0,,Canada,United States,Canada,United States,US-Born,Married US-born
1900,525960,1,19.85,2,1,34,1.0,1,0,405,40500,5.0,1.0,0.0,405.0,40500.0,5.0,United Kingdom,United Kingdom,United Kingdom (ns),United Kingdom (ns),United Kingdom (ns),Same Country
2020,5939814,1,20.0,2,1,47,1.0,1,1,200,20000,,1.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2000,584420,1,19.0,2,2,28,1.0,6,0,515,51500,,2.0,0.0,300.0,30040.0,,Philippines,South America,Philippines,South America (ns),South America (ns),Different Region
2010,3610558,1,23.0,2,2,27,1.0,7,4,300,30050,,1.0,0.0,34.0,3400.0,,South America,United States,South America (ns),United States,US-Born,Married US-born
1930,1238633,2,19.98,1,2,26,1.0,1,0,452,45200,5.0,1.0,0.0,42.0,4200.0,4.0,Central Europe,United States,Czechoslovakia,United States,US-Born,Married US-born
2023,6559945,2,16.0,1,2,72,1.0,6,0,515,51500,,6.0,0.0,515.0,51500.0,,Philippines,Philippines,Philippines,Philippines,Philippines,Same Country
2000,5542316,2,27.0,1,2,39,1.0,7,1,200,20000,,7.0,1.0,200.0,20000.0,,Mexico,Mexico,Mexico,Mexico,Mexico,Same Country
2010,755122,1,18.0,2,2,43,1.0,4,0,500,50000,,4.0,0.0,500.0,50000.0,,China,China,China,China,China,Same Country
1930,586698,2,20.04,1,2,35,1.0,1,0,434,43400,5.0,1.0,0.0,434.0,43400.0,5.0,Scandinavia,Scandinavia,Iceland,Iceland,Iceland,Same Country
