ORIGIN,LANGUAGE,MARRIAGE_CATEGORY,SPOUSE_LANGUAGE,WEIGHTED_COUNT,UNWEIGHTED_N
Africa,English,3rd+ gen American,English/Not Reported,2005.31,71
Africa,English,Different origin,Celtic/Gaelic,118.85,2
Africa,English,Different origin,English,944.39,31
Africa,English,Different origin,French,19.86,1
Africa,English,Different origin,German,291.07,6
Africa,English,Different origin,Greek,125.91,2
Africa,English,Different origin,Norwegian,20.14,1
Africa,English,Different origin,Polish,19.98,1
Africa,English,Different origin,Russian,40.120000000000005,2
Africa,English,Different origin,Spanish,20.22,1
Africa,English,Different origin,Swedish,120.03999999999999,2
Africa,English,Different origin,Yiddish/Hebrew,133.01,2
Africa,English,Same heritage,English,444.1,14
Africa,French,3rd+ gen American,English/Not Reported,200.47,6
Africa,French,Different origin,English,19.96,1
Africa,French,Different origin,French,160.96,8
Africa,French,Different origin,German,40.45,2
Africa,French,Different origin,Italian,160.67000000000002,4
Africa,French,Different origin,Russian,100.6,1
Africa,French,Different origin,Swedish,20.32,1
Africa,Italian,3rd+ gen American,English/Not Reported,80.44,4
Africa,Italian,3rd+ gen American,French,102.34,1
Africa,Italian,Different origin,Italian,201.98,10
Africa,Italian,Same heritage,Italian,191.52,2
Africa,Other,3rd+ gen American,English/Not Reported,443.51,14
Africa,Other,Different origin,Celtic/Gaelic,102.48,1
Africa,Other,Different origin,Greek,20.1,1
Africa,Other,Different origin,Italian,98.51,1
Africa,Other,Different origin,Other,662.44,13
Africa,Other,Different origin,Russian,20.17,1
Africa,Other,Different origin,Yiddish/Hebrew,20.17,1
Africa,Other,Same heritage,Other,241.79999999999998,4
Africa,Yiddish/Hebrew,3rd+ gen American,English/Not Reported,40.13,2
Africa,Yiddish/Hebrew,Different origin,English,102.34,1
Africa,Yiddish/Hebrew,Different origin,Italian,102.34,1
Africa,Yiddish/Hebrew,Different origin,Lithuanian,19.87,1
Africa,Yiddish/Hebrew,Different origin,Yiddish/Hebrew,285.87,6
Albania,Albanian,3rd+ gen American,English/Not Reported,406.79,20
Albania,Albanian,Different origin,English,43.77,2
Albania,Albanian,Different origin,French,20.49,1
Albania,Albanian,Different origin,German,20.36,1
Albania,Albanian,Different origin,Greek,40.92,2
Albania,Albanian,Different origin,Italian,60.35,3
Albania,Albanian,Different origin,Lithuanian,19.87,1
Albania,Albanian,Different origin,Magyar,20.01,1
Albania,Albanian,Different origin,Polish,21.11,1
Albania,Albanian,Different origin,Slovak,20.42,1
Albania,Albanian,Different origin,Slovenian,20.56,1
Albania,Albanian,Same heritage,Albanian,3354.98,142
Asia Minor (unspecified),Armenian,3rd+ gen American,English/Not Reported,20.1,1
Asia Minor (unspecified),Armenian,Different origin,English,20.99,1
Asia Minor (unspecified),Armenian,Same heritage,Armenian,523.9,10
Atlantic Islands,English,3rd+ gen American,English/Not Reported,1375.71,16
Atlantic Islands,English,Different origin,English,126.07,2
Atlantic Islands,English,Same heritage,English,402.86,4
Atlantic Islands,Portuguese,3rd+ gen American,English/Not Reported,584.38,25
Atlantic Islands,Portuguese,Different origin,English,119.66,2
Atlantic Islands,Portuguese,Different origin,Portuguese,239.28,8
Atlantic Islands,Portuguese,Same heritage,Portuguese,2093.56,72
Australia/New Zealand,English,3rd+ gen American,English,59.97,3
Australia/New Zealand,English,3rd+ gen American,English/Not Reported,7927.49,270
Australia/New Zealand,English,Different origin,Celtic/Gaelic,486.96,8
Australia/New Zealand,English,Different origin,Chinese,20.04,1
Australia/New Zealand,English,Different origin,Danish,170.62,4
Australia/New Zealand,English,Different origin,English,3443.58,99
Australia/New Zealand,English,Different origin,Finnish,20.52,1
Australia/New Zealand,English,Different origin,German,279.6,10
Australia/New Zealand,English,Different origin,Italian,20.16,1
Australia/New Zealand,English,Different origin,Magyar,60.99,3
Australia/New Zealand,English,Different origin,Norwegian,145.95999999999998,3
Australia/New Zealand,English,Different origin,Other,20.11,1
Australia/New Zealand,English,Different origin,Polish,105.77,1
Australia/New Zealand,English,Different origin,Serbian/Croatian,20.15,1
Australia/New Zealand,English,Different origin,Slovak,20.46,1
Australia/New Zealand,English,Different origin,Spanish,240.28,4
Australia/New Zealand,English,Different origin,Swedish,20.23,1
Australia/New Zealand,English,Different origin,Yiddish/Hebrew,40.099999999999994,2
Australia/New Zealand,English,Same heritage,English,2978.9,84
Austria,Czech,3rd+ gen American,English,105.77,1
Austria,Czech,3rd+ gen American,English/Not Reported,26502.48,320
Austria,Czech,Different origin,Celtic/Gaelic,119.99,2
Austria,Czech,Different origin,Czech,1861.76,45
Austria,Czech,Different origin,Danish,100.0,1
Austria,Czech,Different origin,English,445.18,6
Austria,Czech,Different origin,German,3860.09,49
Austria,Czech,Different origin,Greek,120.48,2
Austria,Czech,Different origin,Italian,206.11,2
Austria,Czech,Different origin,Magyar,302.0,3
Austria,Czech,Different origin,Norwegian,101.0,1
