YEAR,MOTHER_ORIGIN,FATHER_ORIGIN,MARRIAGE_TYPE,WEIGHTED_COUNT,UNWEIGHTED_N
1880,Abroad/At Sea,Abroad/At Sea,Married 3rd+ gen American,65.23,7
1880,Abroad/At Sea,Abroad/At Sea,Married different origin (2nd gen),29.98,3
1880,Abroad/At Sea,Canada,Married 3rd+ gen American,10.38,1
1880,Abroad/At Sea,England,Married 3rd+ gen American,45.3,5
1880,Abroad/At Sea,England,Married different origin (1st gen immigrant),10.11,1
1880,Abroad/At Sea,France,Married 3rd+ gen American,14.77,2
1880,Abroad/At Sea,Germany,Married 3rd+ gen American,45.480000000000004,5
1880,Abroad/At Sea,Germany,Married father's origin (1st gen immigrant),9.85,1
1880,Abroad/At Sea,Ireland,Married 3rd+ gen American,49.379999999999995,5
1880,Abroad/At Sea,Ireland,Married different origin (2nd gen),10.2,1
1880,Abroad/At Sea,Ireland,Married father's origin (2nd gen),30.44,3
1880,Abroad/At Sea,Scotland,Married 3rd+ gen American,9.45,1
1880,Abroad/At Sea,Scotland,Married different origin (2nd gen),10.06,1
1880,Abroad/At Sea,Switzerland,Married father's origin (1st gen immigrant),10.1,1
1880,Abroad/At Sea,US-born,Married 3rd+ gen American,379.23,41
1880,Abroad/At Sea,US-born,Married different origin (1st gen immigrant),49.35,5
1880,Abroad/At Sea,US-born,Married different origin (2nd gen),75.26,8
1880,Abroad/At Sea,Wales,Married 3rd+ gen American,9.82,1
1880,Africa,Africa,Married 3rd+ gen American,1572.04,316
1880,Africa,Africa,Married different origin (1st gen immigrant),9.870000000000001,2
1880,Africa,Africa,Married different origin (2nd gen),20.25,4
1880,Africa,Africa,Married same origin (1st gen immigrant),19.34,4
1880,Africa,Africa,Married same origin (2nd gen),481.49,96
1880,Africa,China,Married 3rd+ gen American,5.01,1
1880,Africa,England,Married 3rd+ gen American,5.17,1
1880,Africa,France,Married 3rd+ gen American,9.530000000000001,2
1880,Africa,Germany,Married father's origin (2nd gen),5.05,1
1880,Africa,Ireland,Married 3rd+ gen American,14.870000000000001,3
1880,Africa,Mexico,Married 3rd+ gen American,10.07,2
1880,Africa,Scotland,Married 3rd+ gen American,4.98,1
1880,Africa,Spain,Married 3rd+ gen American,11.190000000000001,2
