YEAR,MOTHER_ORIGIN,FATHER_ORIGIN,SPOUSE_GEN,SPOUSE_COUNTRY,SPOUSE_MOTHER,SPOUSE_FATHER,WEIGHTED_COUNT
1880,Abroad/At Sea,Abroad/At Sea,2nd gen,Germany,Germany,Germany,29.98
1880,Abroad/At Sea,Abroad/At Sea,3rd+ gen American,American,Abroad/At Sea,Abroad/At Sea,39.870000000000005
1880,Abroad/At Sea,Abroad/At Sea,3rd+ gen American,American,US-born,US-born,25.36
1880,Abroad/At Sea,Canada,3rd+ gen American,American,US-born,US-born,10.38
1880,Abroad/At Sea,England,1st gen immigrant,Germany,Germany,Germany,10.11
1880,Abroad/At Sea,England,3rd+ gen American,American,US-born,US-born,45.3
1880,Abroad/At Sea,France,3rd+ gen American,American,US-born,US-born,14.77
1880,Abroad/At Sea,Germany,1st gen immigrant,Germany,Germany,Germany,9.85
1880,Abroad/At Sea,Germany,3rd+ gen American,American,US-born,US-born,45.480000000000004
1880,Abroad/At Sea,Ireland,2nd gen,Germany,Germany,Germany,10.2
1880,Abroad/At Sea,Ireland,2nd gen,Ireland,England,Ireland,10.08
1880,Abroad/At Sea,Ireland,2nd gen,Ireland,Ireland,Ireland,10.21
1880,Abroad/At Sea,Ireland,2nd gen,Ireland,US-born,Ireland,10.15
1880,Abroad/At Sea,Ireland,3rd+ gen American,American,US-born,US-born,49.379999999999995
1880,Abroad/At Sea,Scotland,2nd gen,Ireland,England,Ireland,10.06
1880,Abroad/At Sea,Scotland,3rd+ gen American,American,US-born,US-born,9.45
1880,Abroad/At Sea,Switzerland,1st gen immigrant,Switzerland,Switzerland,Switzerland,10.1
1880,Abroad/At Sea,US-born,1st gen immigrant,Canada,Canada,Canada,9.56
1880,Abroad/At Sea,US-born,1st gen immigrant,Canada,Ireland,Ireland,9.79
1880,Abroad/At Sea,US-born,1st gen immigrant,Ireland,Ireland,Ireland,19.98
1880,Abroad/At Sea,US-born,1st gen immigrant,Scotland,Scotland,Scotland,10.02
1880,Abroad/At Sea,US-born,2nd gen,England,England,England,10.17
1880,Abroad/At Sea,US-born,2nd gen,England,England,US-born,14.91
1880,Abroad/At Sea,US-born,2nd gen,Germany,Germany,Germany,9.82
1880,Abroad/At Sea,US-born,2nd gen,Ireland,Ireland,Ireland,30.32
1880,Abroad/At Sea,US-born,2nd gen,Scotland,Scotland,Scotland,10.04
1880,Abroad/At Sea,US-born,3rd+ gen American,American,US-born,US-born,379.23
1880,Abroad/At Sea,Wales,3rd+ gen American,American,US-born,US-born,9.82
1880,Africa,Africa,1st gen immigrant,Africa,Africa,Africa,19.34
1880,Africa,Africa,1st gen immigrant,Germany,Germany,Germany,4.86
1880,Africa,Africa,1st gen immigrant,South America,South America,South America,5.01
1880,Africa,Africa,2nd gen,Africa,Africa,Africa,382.36
1880,Africa,Africa,2nd gen,Africa,Africa,US-born,30.15
1880,Africa,Africa,2nd gen,Africa,US-born,Africa,68.98
1880,Africa,Africa,2nd gen,England,England,England,5.25
1880,Africa,Africa,2nd gen,France,US-born,France,4.98
1880,Africa,Africa,2nd gen,Germany,Germany,Germany,5.01
1880,Africa,Africa,2nd gen,West Indies,West Indies,West Indies,5.01
1880,Africa,Africa,3rd+ gen American,American,US-born,US-born,1572.04
1880,Africa,China,3rd+ gen American,American,US-born,US-born,5.01
1880,Africa,England,3rd+ gen American,American,US-born,US-born,5.17
1880,Africa,France,3rd+ gen American,American,US-born,US-born,9.530000000000001
1880,Africa,Germany,2nd gen,Germany,Germany,Germany,5.05
1880,Africa,Ireland,3rd+ gen American,American,US-born,US-born,14.870000000000001
1880,Africa,Mexico,3rd+ gen American,American,US-born,US-born,10.07
1880,Africa,Scotland,3rd+ gen American,American,US-born,US-born,4.98
1880,Africa,Spain,3rd+ gen American,American,US-born,US-born,11.190000000000001
1880,Africa,US-born,2nd gen,Africa,Africa,Africa,30.15
1880,Africa,US-born,2nd gen,Africa,Africa,US-born,60.1
1880,Africa,US-born,2nd gen,Africa,US-born,Africa,4.97
1880,Africa,US-born,2nd gen,England,England,US-born,5.05
1880,Africa,US-born,2nd gen,Spain,Spain,US-born,4.78
1880,Africa,US-born,3rd+ gen American,American,US-born,US-born,1002.72
1880,Africa,West Indies,3rd+ gen American,American,US-born,US-born,5.01
1880,Atlantic Islands,Atlantic Islands,1st gen immigrant,France,France,Germany,4.98
1880,Atlantic Islands,Atlantic Islands,3rd+ gen American,American,US-born,US-born,9.87
1880,Atlantic Islands,England,3rd+ gen American,American,US-born,US-born,9.76
