YEAR,ORIGIN,SPOUSE,WEIGHTED_COUNT,UNWEIGHTED_COUNT,TOTAL_BY_ORIGIN,PERCENTAGE
1880,Austria,Austria,27386.1,282,36082.88,75.9
1880,Austria,Poland,3728.0,37,36082.88,10.33
1880,Austria,US-Born,4968.78,50,36082.88,13.77
1880,Austria-Hungary (ns),Austria-Hungary (ns),10045.04,100,17776.04,56.51
1880,Austria-Hungary (ns),Poland,4900.08,47,17776.04,27.57
1880,Austria-Hungary (ns),US-Born,2830.92,28,17776.04,15.93
1880,Bulgaria,Bulgaria,2254.34,22,2254.34,100.0
1880,Canada,Canada,168791.94,1686,325960.33,51.78
1880,Canada,Channel Islands,4671.16,48,325960.33,1.43
1880,Canada,Code 414,17947.54,180,325960.33,5.51
1880,Canada,Ireland,10381.17,103,325960.33,3.18
1880,Canada,Poland,4019.7,40,325960.33,1.23
1880,Canada,US-Born,120148.82,1198,325960.33,36.86
1880,Channel Islands,Canada,4671.16,48,95557.8,4.89
1880,Channel Islands,Channel Islands,42524.36,424,95557.8,44.5
1880,Channel Islands,Code 414,10380.6,106,95557.8,10.86
1880,Channel Islands,Ireland,8746.28,88,95557.8,9.15
1880,Channel Islands,US-Born,29235.4,289,95557.8,30.59
1880,China,China,5844.64,62,5844.64,100.0
1880,Code 414,Canada,17947.54,180,1091333.3,1.64
1880,Code 414,Channel Islands,10380.6,106,1091333.3,0.95
1880,Code 414,Code 414,864774.8099999999,8583,1091333.3,79.24
1880,Code 414,Germany,1967.8,20,1091333.3,0.18
1880,Code 414,Ireland,22288.91,222,1091333.3,2.04
1880,Code 414,Poland,12798.16,128,1091333.3,1.17
1880,Code 414,US-Born,161175.48,1595,1091333.3,14.77
1880,Czechoslovakia,Czechoslovakia,53045.6,518,55458.53,95.65
1880,Czechoslovakia,Poland,2412.93,25,55458.53,4.35
1880,England,England,26863.38,270,30252.780000000002,88.8
1880,England,US-Born,3389.4,35,30252.780000000002,11.2
1880,Germany,Code 414,1967.8,20,89466.42000000001,2.2
1880,Germany,Germany,50452.48,502,89466.42000000001,56.39
1880,Germany,Poland,16437.79,163,89466.42000000001,18.37
1880,Germany,US-Born,20608.35,206,89466.42000000001,23.03
1880,Iceland,Iceland,16455.26,164,19014.079999999998,86.54
1880,Iceland,US-Born,2558.82,26,19014.079999999998,13.46
1880,Ireland,Canada,10381.17,103,388930.73,2.67
1880,Ireland,Channel Islands,8746.28,88,388930.73,2.25
1880,Ireland,Code 414,22288.91,222,388930.73,5.73
1880,Ireland,Ireland,207812.64,2056,388930.73,53.43
1880,Ireland,Isle of Man,2747.06,28,388930.73,0.71
1880,Ireland,Poland,5090.81,51,388930.73,1.31
1880,Ireland,US-Born,131863.86,1308,388930.73,33.9
1880,Isle of Man,Ireland,2747.06,28,45237.44,6.07
1880,Isle of Man,Isle of Man,31103.66,308,45237.44,68.76
1880,Isle of Man,US-Born,11386.72,113,45237.44,25.17
1880,Mexico,Mexico,27503.26,286,30432.39,90.37
1880,Mexico,US-Born,2929.13,30,30432.39,9.63
1880,Netherlands,Netherlands,4594.54,46,4594.54,100.0
1880,Northern Ireland,Northern Ireland,92418.28,928,102197.52,90.43
1880,Northern Ireland,US-Born,6875.42,69,102197.52,6.73
1880,Northern Ireland,United Kingdom (ns),2903.82,29,102197.52,2.84
1880,Poland,Austria,3728.0,37,1308358.83,0.28
1880,Poland,Austria-Hungary (ns),4900.08,47,1308358.83,0.37
1880,Poland,Canada,4019.7,40,1308358.83,0.31
1880,Poland,Code 414,12798.16,128,1308358.83,0.98
1880,Poland,Czechoslovakia,2412.93,25,1308358.83,0.18
1880,Poland,Germany,16437.79,163,1308358.83,1.26
1880,Poland,Ireland,5090.81,51,1308358.83,0.39
1880,Poland,Poland,1052193.24,10490,1308358.83,80.42
1880,Poland,Romania,4424.57,45,1308358.83,0.34
1880,Poland,Spain,1985.74,21,1308358.83,0.15
1880,Poland,Switzerland,12390.58,123,1308358.83,0.95
1880,Poland,US-Born,187977.23,1877,1308358.83,14.37
1880,Romania,Poland,4424.57,45,38041.450000000004,11.63
1880,Romania,Romania,31076.24,304,38041.450000000004,81.69
1880,Romania,US-Born,2540.64,26,38041.450000000004,6.68
1880,Scotland,Scotland,2009.28,20,2009.28,100.0
1880,Spain,Poland,1985.74,21,14891.18,13.34
1880,Spain,Spain,12905.44,132,14891.18,86.66
1880,Switzerland,Poland,12390.58,123,49732.73,24.91
1880,Switzerland,Switzerland,26486.64,266,49732.73,53.26
1880,Switzerland,US-Born,10855.51,109,49732.73,21.83
1880,United Kingdom (ns),Northern Ireland,2903.82,29,99378.56,2.92
1880,United Kingdom (ns),US-Born,5665.6,58,99378.56,5.7
1880,United Kingdom (ns),United Kingdom (ns),90809.14,906,99378.56,91.38
1900,Africa (ns),US-Born,684.54,35,684.54,100.0
1900,Albania,Albania,5613.58,284,6445.84,87.09
1900,Albania,Spain,832.26,42,6445.84,12.91
